年级,单词,释义,英文句子,中文翻译
6,aboard,上（船、飞机、火车等）,They climbed aboard the small boat.,他们登上了小船。
6,cater,提供饮食及服务,The hotel will cater delicious meals for all guests.,这家酒店将为所有客人提供美味的餐饮。
5,impressive,令人印象深刻的,Her performance was impressive.,她的表现令人印象深刻。
6,vaccinate,给……接种疫苗,Doctors recommend us to vaccinate children against common diseases.,医生建议我们给孩子接种预防常见疾病的疫苗。
3,rid,使摆脱 删除,I need to find the rid of this old file.,我需要删除这个旧文件。
3,right,正确的 右边,Please turn right at the corner.,请在拐角处向右转
5,challenging,具有挑战性的,Learning a new language can be challenging.,学习一门新语言可能具有挑战性。
4,cyclist,骑自行车的人,The cyclist rode slowly along the quiet street.,那位骑自行车的人沿着安静的街道缓缓骑行。
6,dominant,占主导地位的,The dominant color in the room is blue.,这个房间的主色调是蓝色。
5,during,在...期间,I read a book during the afternoon.,我在下午读了一本书。
5,largely,在很大程度上,The success of the project was largely due to teamwork.,这个项目的成功在很大程度上归功于团队合作。
6,manly,有男子气概的,He has a manly voice that commands attention.,他有着充满男子气概的嗓音，能够吸引听众的注意力。
6,Marxist,马克思主义者,He is studying Marxist theories in college.,他正在大学里学习马克思主义理论。
6,nuisance,讨厌的人或事,The loud music from the party next door was a nuisance.,隔壁派对传来的喧闹音乐令人讨厌。
6,sneak,偷偷摸摸地做,I like to sneak into the kitchen for snacks at night.,我喜欢在晚上偷偷溜进厨房找零食。
5,programme,节目 计划,I watched a great programme on TV last night.,昨晚我在电视上看了一个很棒的节目。
6,cope,处理 应付,She tries to cope with stress by exercising daily.,她通过每天锻炼来努力应对压力。
3,over,在……上方,She walked over the bridge.,她走过了桥。
5,issue,问题 议题,We need to discuss the issue together.,我们需要一起讨论这个问题。
5,civil,公民 国内,We should respect civil rights in society.,我们应该在社会中尊重公民权利。
5,offer,提供 出价,The company will offer me a new job next week.,这家公司下周将给我提供一份新工作。
5,while,在……期间,I read a book while waiting for the bus.,我在等公交车的时候读了一本书。
4,clothe,给……穿衣,She likes to clothe her baby in soft fabrics.,她喜欢给她的宝宝穿柔软的面料做的衣服。
5,grandparent,祖父或祖母,My grandparent likes telling stories.,我的祖父母喜欢讲故事。
6,export,输出 出口,We need to export these goods to other countries.,我们需要把这些货物出口到其他国家。
6,admirable,令人钦佩的,Her dedication to helping others is admirable.,她帮助他人的奉献精神令人钦佩。
5,amateur,业余爱好者,He is an amateur photographer who enjoys taking pictures in his free time.,他是一位业余摄影师，喜欢在空闲时间拍照。
5,amazing,令人惊奇的,The sunset over the ocean is amazing.,海上的日落令人惊叹。
6,ambiguous,模棱两可的,"Her instructions were ambiguous, so I didn't know what to do next.",她的指示含糊不清，所以我不知道接下来该做什么。
5,among,在……之中,She sat among her friends and laughed loudly.,她坐在朋友们中间，大声笑着。
6,amongst,在……之中,She found her lost key amongst the books on the shelf.,她在书架上的书中间找到了丢失的钥匙。
6,anniversary,周年纪念日,We are planning a party for our anniversary next week.,我们计划下周为我们的周年纪念日举办一个派对。
5,attractive,有吸引力的,She wears an attractive dress today.,她今天穿着一条迷人的裙子。
5,Australian,澳大利亚的,She met an Australian friend at the park.,她在公园遇到了一位澳大利亚朋友。
3,before,在……之前,I eat breakfast before going to school.,我上学前吃早餐
4,between,在……之间,I sit between my two friends in class.,我在班上坐在我的两个朋友中间。
6,breathless,气喘吁吁的,She ran so fast that she was breathless when she stopped.,她跑得太快了，停下来的时候都喘不过气了。
